"","Sbj1_stimuli_timepoints","Sbj1_durations","Sbj1_choice_timepoints"
"1",14905264,1533,14906797
"2",14912114,1467,14913581
"3",14918964,1117,14920081
"4",14925814,1217,14927031
"5",14932681,1300,14933981
"6",14939547,784,14940331
"7",14946414,2584,14948998
"8",14953248,1117,14954365
"9",14960098,1250,14961348
"10",14966931,934,14967865
"11",14973765,1966,14975731
"12",14980615,767,14981382
"13",14987465,767,14988232
"14",14995015,1267,14996282
"15",15001848,1417,15003265
"16",15008698,1567,15010265
"17",15015565,1100,15016665
"18",15022832,833,15023665
"19",15029682,1117,15030799
"20",15036532,1034,15037566
"21",15043382,2134,15045516
"22",15050266,1117,15051383
"23",15057116,1100,15058216
"24",15063949,1201,15065150
"25",15070783,950,15071733
"26",15077666,1184,15078850
"27",15084516,850,15085366
"28",15091400,1000,15092400
"29",15098667,1366,15100033
"30",15105533,767,15106300
"31",15112367,1383,15113750
"32",15119233,834,15120067
"33",15126084,1566,15127650
"34",15132934,2150,15135084
"35",15139784,2050,15141834
"36",15146667,884,15147551
"37",15154284,1350,15155634
"38",15161134,1700,15162834
"39",15174401,1800,15176201
"40",15181268,1833,15183101
"41",15188135,1017,15189152
"42",15194985,1367,15196352
"43",15201835,1067,15202902
"44",15208668,2167,15210835
"45",15215518,967,15216485
"46",15222385,1117,15223502
"47",15229252,883,15230135
"48",15236102,2450,15238552
"49",15244952,1250,15246202
"50",15252036,733,15252769
"51",15258936,3400,15262336
"52",15265819,1600,15267419
"53",15272669,817,15273486
"54",15279503,900,15280403
"55",15286353,1217,15287570
"56",15293186,717,15293903
"57",15300053,2000,15302053
"58",15306887,1583,15308470
"59",15313737,2400,15316137
"60",15323003,1051,15324054
"61",15329870,984,15330854
"62",15336737,2717,15339454
"63",15343754,1600,15345354
"64",15351187,2817,15354004
"65",15358071,933,15359004
"66",15364921,1216,15366137
"67",15371788,1000,15372788
"68",15378638,1916,15380554
"69",15385504,934,15386438
"70",15392354,951,15393305
"71",15400271,2367,15402638
"72",15407138,1283,15408421
"73",15414188,1500,15415688
"74",15421055,1633,15422688
"75",15427905,1400,15429305
"76",15434772,900,15435672
"77",15441639,1683,15443322
"78",15448505,1134,15449639
"79",15455339,1200,15456539
"80",15462206,1100,15463306
"81",15469056,1117,15470173
"82",15475922,2301,15478223
"83",15482789,1550,15484339
"84",15489639,967,15490606
"85",15496489,951,15497440
"86",15503356,1634,15504990
"87",15510173,2167,15512340
"88",15517023,1150,15518173
"89",15523856,1151,15525007
"90",15530707,2100,15532807
"91",15537557,1117,15538674
"92",15544407,967,15545374
"93",15551257,1050,15552307
"94",15558107,950,15559057
"95",15564974,1433,15566407
"96",15571841,1216,15573057
"97",15578707,2434,15581141
"98",15585541,1417,15586958
"99",15592374,1500,15593874
"100",15599208,1650,15600858
"101",15606058,1500,15607558
"102",15612908,1917,15614825
"103",15619775,1533,15621308
"104",15626625,950,15627575
"105",15633492,2433,15635925
"106",15640358,1967,15642325
"107",15647192,1333,15648525
"108",15654842,933,15655775
"109",15661692,1233,15662925
"110",15668542,1134,15669676
"111",15675409,717,15676126
"112",15682259,933,15683192
"113",15689126,800,15689926
"114",15696059,817,15696876
"115",15702909,1451,15704360
"116",15709743,917,15710660
"117",15716893,1167,15718060
"118",15723910,1116,15725026
"119",15730776,834,15731610
"120",15737610,767,15738377
"121",15744460,1700,15746160
"122",15751310,683,15751993
"123",15758160,734,15758894
"124",15765027,783,15765810
"125",15771894,2617,15774511
"126",15779027,1467,15780494
"127",15785894,2700,15788594
"128",15792761,750,15793511
"129",15799627,1134,15800761
"130",15806961,1683,15808644
"131",15813844,1400,15815244
"132",15820844,2751,15823595
"133",15827711,1167,15828878
"134",15834578,1117,15835695
"135",15841461,1234,15842695
"136",15848311,1017,15849328
"137",15855412,1000,15856412
"138",15862278,1384,15863662
"139",15869145,734,15869879
"140",15876012,1600,15877612
"141",15882862,984,15883846
"142",15889712,2134,15891846
"143",15896562,884,15897446
"144",15903429,1550,15904979
"145",15910262,1151,15911413
"146",15917113,2833,15919946
"147",15923979,850,15924829
"148",15930846,1350,15932196
"149",15937713,1033,15938746
"150",15944563,1467,15946030
"151",15951430,1700,15953130
"152",15958280,1317,15959597
"153",15965147,1550,15966697
"154",15972013,1601,15973614
"155",15978847,783,15979630
"156",15985947,2184,15988131
"157",15992814,2117,15994931
"158",15999681,1216,16000897
"159",16006547,1017,16007564
"160",16013431,1133,16014564
"161",16020298,1216,16021514
"162",16027164,701,16027865
"163",16034031,1917,16035948
"164",16041048,1050,16042098
"165",16047898,700,16048598
"166",16054765,1583,16056348
"167",16061631,734,16062365
"168",16068982,2300,16071282
"169",16076165,2284,16078449
"170",16083115,2450,16085565
"171",16089982,783,16090765
"172",16096849,700,16097549
"173",16103882,1017,16104899
"174",16112999,1100,16114099
"175",16119866,1150,16121016
"176",16126732,984,16127716
"177",16133583,1850,16135433
"178",16140449,1917,16142366
"179",16147300,733,16148033
"180",16154133,883,16155016
"181",16161000,1183,16162183
"182",16167867,1150,16169017
"183",16174717,1500,16176217
"184",16181567,1100,16182667
"185",16189083,1267,16190350
"186",16196300,2401,16198701
"187",16203167,817,16203984
"188",16210034,1250,16211284
"189",16216867,1050,16217917
"190",16223734,2450,16226184
"191",16230601,1067,16231668
"192",16237468,1100,16238568
"193",16244318,816,16245134
"194",16251368,1217,16252585
"195",16258851,2717,16261568
"196",16265718,1700,16267418
"197",16272585,850,16273435
"198",16279452,716,16280168
"199",16286302,1017,16287319
"200",16293168,951,16294119
